Entity,Code,Year,Population,Continent
INSERTION-15A,NA,2022.10,0,INSERTION-15A
INSERTION-15B,NA,2022.10,0,INSERTION-15B
INSERTION-15C,NA,2022.10,0,INSERTION-15C
CAL-3,NA,2022.10,0,CAL-3
PKL-6,NA,2022.10,0,PKL-6
READ-7,NA,2022.10,0,READ-7
TDN-7,NA,2022.10,0,TDN-7
SECURE-5,NA,2022.10,0,SECURE-5
QUAL-42,NA,2022.10,0,QUAL-42
DMC-1A,NA,2022.10,0,DMC-1A
DMC-1B,NA,2022.10,0,DMC-1B
DMC-3A,NA,2022.10,0,DMC-3A
DMC-3B,NA,2022.10,0,DMC-3B
DMC-3C,NA,2022.10,0,DMC-3C
DMC-3F,NA,2022.10,0,DMC-3F
DMC-3G,NA,2022.10,0,DMC-3G
DMC-3H,NA,2022.10,0,DMC-3H
DMC-3I,NA,2022.10,0,DMC-3I
DMC-6B,NA,2022.10,0,DMC-6B
DMC-9B,NA,2022.10,0,DMC-9B
DMC-9C,NA,2022.10,0,DMC-9C
DMC-9F,NA,2022.10,0,DMC-9F
DMC-9I,NA,2022.10,0,DMC-9I
DMC-9J,NA,2022.10,0,DMC-9J
DMC-9P,NA,2022.10,0,DMC-9P
DMC-9R,NA,2022.10,0,DMC-9R
DMC-13C,NA,2022.10,0,DMC-13C
DMC-14A,NA,2022.10,0,DMC-14A
DMC-14B,NA,2022.10,0,DMC-14B
DMC-4,NA,2022.10,0,DMC-4
PKL-2,NA,2022.10,0,PKL-2
PKL-21,NA,2022.10,0,PKL-21
DMC-6A,NA,2022.10,0,DMC-6A
DMC-6C,NA,2022.10,0,DMC-6C
DMC-9A,NA,2022.10,0,DMC-9A
DMC-9D,NA,2022.10,0,DMC-9D
DMC-9E,NA,2022.10,0,DMC-9E
DMC-9K,NA,2022.10,0,DMC-9K
DMC-9L,NA,2022.10,0,DMC-9L
DMC-9M,NA,2022.10,0,DMC-9M
DMC-9N,NA,2022.10,0,DMC-9N
DMC-9O,NA,2022.10,0,DMC-9O
DMC-9S,NA,2022.10,0,DMC-9S
DMC-13D,NA,2022.10,0,DMC-13D
DMC-14C,NA,2022.10,0,DMC-14C
DMC-14D,NA,2022.10,0,DMC-14D
BARPOC-5,NA,2022.10,0,BARPOC-5
LSDSPC-19,NA,2022.10,0,LSDSPC-19
ERRPOC-16,NA,2022.10,0,ERRPOC-16
ERRPOC-18,NA,2022.10,0,ERRPOC-18
ERRPOC-20,NA,2022.10,0,ERRPOC-20
ERRPOC-21,NA,2022.10,0,ERRPOC-21
LSINSERTION-17,NA,2022.10,0,LSINSERTION-17
PKL-13,NA,2022.10,0,PKL-13
SET-19,NA,2022.10,0,SET-19
SECURE-3,NA,2022.10,0,SECURE-3
SECURE-6,NA,2022.10,0,SECURE-6
DMC-9Q,NA,2022.10,0,DMC-9Q
DMC-13B,NA,2022.10,0,DMC-13B
APP-1F,NA,2022.10,0,APP-1F
ERRPOC-17,NA,2022.10,0,ERRPOC-17
QUAL-17,NA,2022.10,0,QUAL-17
WRLESS-9,NA,2022.10,0,WRLESS-9
BARPOC-1,NA,2022.10,0,BARPOC-1
BARPOC-3,NA,2022.10,0,BARPOC-3
READ-5,NA,2022.10,0,READ-5
WRLESS-1,NA,2022.10,0,WRLESS-1
SECURE-2,NA,2022.10,0,SECURE-2
LSDSPC-21,NA,2022.10,0,LSDSPC-21
LSINSERTION-13,NA,2022.10,0,LSINSERTION-13
LSINSERTION-15,NA,2022.10,0,LSINSERTION-15
LSPKL-23,NA,2022.10,0,LSPKL-23
LSREAD-31,NA,2022.10,0,LSREAD-31
LSINSERTION-18,NA,2022.10,0,LSINSERTION-18
LSQUAL-20,NA,2022.10,0,LSQUAL-20
DSPPOC-6,NA,2022.10,0,DSPPOC-6
DSPPOC-15,NA,2022.10,0,DSPPOC-15
ERRPOC-31,NA,2022.10,0,ERRPOC-31
ERRPOC-36,NA,2022.10,0,ERRPOC-36
ERRPOC-47,NA,2022.10,0,ERRPOC-47
READPOC-6,NA,2022.10,0,READPOC-6
LSPKL-1,NA,2022.10,0,LSPKL-1
DMPOC-8,NA,2022.10,0,DMPOC-8
SECURE-4,NA,2022.10,0,SECURE-4
BARPOC-2,NA,2022.10,0,BARPOC-2
DSPPOC-4,NA,2022.10,0,DSPPOC-4
DSPPOC-8,NA,2022.10,0,DSPPOC-8
DSPPOC-11,NA,2022.10,0,DSPPOC-11
DSPPOC-21,NA,2022.10,0,DSPPOC-21
LSDSPC-9,NA,2022.10,0,LSDSPC-9
DSPLGHT-7,NA,2022.10,0,DSPLGHT-7
ERRPOC-15,NA,2022.10,0,ERRPOC-15
ERRPOC-22,NA,2022.10,0,ERRPOC-22
ERRPOC-32,NA,2022.10,0,ERRPOC-32
ERRPOC-37,NA,2022.10,0,ERRPOC-37
ERRPOC-39,NA,2022.10,0,ERRPOC-39
ERRPOC-43,NA,2022.10,0,ERRPOC-43
ERRPOC-48,NA,2022.10,0,ERRPOC-48
LSINSERTION-20,NA,2022.10,0,LSINSERTION-20
LSINSERTION-21,NA,2022.10,0,LSINSERTION-21
LSPKL-12,NA,2022.10,0,LSPKL-12
LSPKL-22,NA,2022.10,0,LSPKL-22
LSPKL-24,NA,2022.10,0,LSPKL-24
LSQUAL-21,NA,2022.10,0,LSQUAL-21
READ-11,NA,2022.10,0,READ-11
SET-7,NA,2022.10,0,SET-7
SET-9,NA,2022.10,0,SET-9
SET-10,NA,2022.10,0,SET-10
SET-17,NA,2022.10,0,SET-17
LSINSERTION-4,NA,2022.10,0,LSINSERTION-4
DMPOC-5,NA,2022.10,0,DMPOC-5
DSPPOC-10,NA,2022.10,0,DSPPOC-10
DSPPOC-17,NA,2022.10,0,DSPPOC-17
DSPPOC-18,NA,2022.10,0,DSPPOC-18
ERRPOC-30,NA,2022.10,0,ERRPOC-30
ERRPOC-33,NA,2022.10,0,ERRPOC-33
LSPKL-3,NA,2022.10,0,LSPKL-3
LSPKL-5,NA,2022.10,0,LSPKL-5
LSPKL-14,NA,2022.10,0,LSPKL-14
LSPKL-16,NA,2022.10,0,LSPKL-16
LSPKL-17,NA,2022.10,0,LSPKL-17
QUAL-22,NA,2022.10,0,QUAL-22
LSQUAL-39,NA,2022.10,0,LSQUAL-39
READ-12,NA,2022.10,0,READ-12
SET-16,NA,2022.10,0,SET-16
INSERTION-15A,NA,2022.11,0,INSERTION-15A
INSERTION-15B,NA,2022.11,0,INSERTION-15B
INSERTION-15C,NA,2022.11,0,INSERTION-15C
DMC-2,NA,2022.11,0,DMC-2
ERRC-8,NA,2022.11,0,ERRC-8
LANC-1,NA,2022.11,0,LANC-1
PKL-6,NA,2022.11,0,PKL-6
READ-7,NA,2022.11,0,READ-7
TDN-7,NA,2022.11,0,TDN-7
SECURE-5,NA,2022.11,0,SECURE-5
QUAL-42,NA,2022.11,0,QUAL-42
DMC-1A,NA,2022.11,0,DMC-1A
DMC-1B,NA,2022.11,0,DMC-1B
DMC-3A,NA,2022.11,0,DMC-3A
DMC-3B,NA,2022.11,0,DMC-3B
DMC-3C,NA,2022.11,0,DMC-3C
DMC-3F,NA,2022.11,0,DMC-3F
DMC-3G,NA,2022.11,0,DMC-3G
DMC-3H,NA,2022.11,0,DMC-3H
DMC-3I,NA,2022.11,0,DMC-3I
DMC-6B,NA,2022.11,0,DMC-6B
DMC-9B,NA,2022.11,0,DMC-9B
DMC-9C,NA,2022.11,0,DMC-9C
DMC-9F,NA,2022.11,0,DMC-9F
DMC-9I,NA,2022.11,0,DMC-9I
DMC-9J,NA,2022.11,0,DMC-9J
DMC-13C,NA,2022.11,0,DMC-13C
DMC-14A,NA,2022.11,0,DMC-14A
DMC-14B,NA,2022.11,0,DMC-14B
PKL-2,NA,2022.11,0,PKL-2
